Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,Unique PER,Unique LOC,Unique ORG
1081.b1.txt,2084.77,1225.66,836.2,549.83,2,0,3
2066.b1.txt,2053.97,1499.25,674.66,434.78,6,0,0
2012.b1.txt,2060.37,1181.1,734.91,656.17,3,0,1
1097.b1.txt,2182.86,1074.29,1051.43,662.86,9,0,2
0139.b1.txt,2083.33,1338.38,820.71,505.05,0,0,0
0140.b1.txt,2333.33,1106.67,786.67,586.67,0,0,0
1508.b1.txt,2382.23,1251.68,821.0,605.65,0,0,0
0300.b1.txt,1891.89,1044.23,1326.78,651.11,15,0,3
1523.b1.txt,1305.01,1274.66,910.47,728.38,1,1,3
1021.b1.txt,1896.98,1005.03,979.9,628.14,1,0,2
3506.b1.txt,2480.92,1005.09,916.03,343.51,0,0,3
0200.b1.txt,2360.0,1133.33,840.0,880.0,0,1,2
2070.b1i.txt,2190.72,1159.79,579.9,476.8,2,0,2
1006.b1i.txt,2277.49,1073.3,942.41,589.01,0,1,5
3503.b1.txt,2581.65,870.92,808.71,404.35,0,0,0
0310.b1.txt,2237.85,1061.38,780.05,703.32,5,0,4
3522.b1.txt,2256.1,1268.29,780.49,512.2,1,0,4
1066.b1.txt,2071.16,1105.46,1169.0,648.03,1,0,3
3018.b1.txt,2120.42,1348.17,746.07,575.92,2,0,1
2042.b1.txt,1763.12,1265.14,794.08,659.49,1,0,2
2032.b1.txt,2008.37,1366.81,836.82,683.4,2,0,0
1006.b1.txt,2277.49,1073.3,942.41,589.01,0,1,5
2049.b1.txt,2400.99,1113.86,779.7,581.68,4,0,1
0308.b1.txt,2085.51,1063.61,1011.47,792.49,1,0,0
3501.b1.txt,2647.5,1119.52,1059.0,484.11,3,1,2
1069.b1.txt,1849.53,950.89,741.9,710.55,6,1,7
2028.b1.txt,1852.37,1337.05,612.81,682.45,1,0,0
3518.b1.txt,1894.87,1173.59,635.7,721.27,5,1,0
4503.b1.txt,2035.52,1202.19,683.06,409.84,2,2,2
3525.b1.txt,1872.91,1287.63,785.95,384.62,1,0,2
0103.b1.txt,2266.67,1127.27,1066.67,266.67,2,0,3
2018.b1.txt,2468.28,1084.2,888.12,542.1,0,1,8
4036.b1.txt,1911.76,1102.94,1078.43,526.96,3,0,1
1500.b1.txt,2431.01,932.98,788.44,578.19,1,0,4
1003.b1.txt,2339.62,1081.76,1094.34,515.72,6,0,5
2034.b1.txt,2190.92,1142.41,735.52,672.93,5,0,2
4035.b1.txt,1697.57,1241.08,670.47,770.33,1,0,0
0122.b1.txt,2252.48,1274.75,804.46,544.55,0,0,0
3515.b1.txt,2639.46,1210.88,1061.22,585.03,2,0,1
2030.b1.txt,1836.73,1102.04,1047.62,693.88,1,0,0
3062.b1.txt,2550.07,1001.34,1108.14,560.75,0,0,0
1520.b1.txt,2255.37,1097.85,894.99,596.66,0,2,2
0134.b1.txt,2184.05,1104.29,883.44,723.93,0,0,0
1112.b1.txt,2325.86,1275.09,755.61,661.16,0,0,0
3505.b1.txt,1804.25,1273.58,1014.15,825.47,2,0,4
4012.b1.txt,2405.66,1037.74,754.72,719.34,1,0,0
1541.b1.txt,2169.39,876.67,906.39,624.07,1,1,1
3523.b1.txt,2331.36,1183.43,1088.76,556.21,0,0,9
2019.b1.txt,1675.39,1335.08,850.79,615.18,3,0,0
1102.b1.txt,2522.18,1077.31,747.78,519.65,0,0,4
3508.b1.txt,2089.73,956.32,1251.48,637.54,2,4,1
3513.b1.txt,2337.08,1370.79,932.58,348.31,2,1,1
3520.b1.txt,2580.65,956.99,913.98,645.16,0,1,0
1532.b1.txt,2424.66,945.21,931.51,493.15,1,0,2
0304.b1.txt,1982.14,1464.29,839.29,696.43,1,0,0
3504.b1.txt,2311.9,1053.35,793.43,533.52,7,0,12
0105.b1.txt,2156.57,1107.83,723.78,915.81,0,0,1
3510.b1.txt,2016.04,973.65,1042.38,435.28,4,1,11
3514.b1.txt,2328.99,1140.07,977.2,456.03,8,0,1
3519.b1.txt,1590.91,1066.43,909.09,506.99,0,0,3
2070.b1.txt,2212.16,1164.29,582.15,478.65,2,0,2
2012.b1i.txt,2060.37,1181.1,734.91,656.17,3,0,1
3013.b1.txt,2096.02,1241.22,995.32,386.42,2,0,0
1528.b1.txt,2199.31,1191.29,618.56,297.82,7,0,4
1104.b1.txt,2053.79,1051.34,794.62,611.25,5,0,5
3511.b1.txt,1814.99,1288.06,971.9,761.12,0,0,0
1104.b1i.txt,2053.79,1051.34,794.62,611.25,5,0,5
4038.b1.txt,2348.28,1108.18,831.13,712.4,0,0,0
4507.b1.txt,2419.75,1395.06,827.16,543.21,2,0,1
1012.b1.txt,2332.44,1032.17,898.12,428.95,0,0,0
0313.b1.txt,1901.32,1179.3,722.02,818.29,0,0,1
2036.b1.txt,1842.11,1315.79,838.82,690.79,0,0,0
1023.b1.txt,2011.98,958.08,1209.58,898.2,1,0,5
0171.b1.txt,2319.88,1123.92,706.05,648.41,3,0,0
1100.b1.txt,2086.83,1134.45,1204.48,588.24,0,0,0
0165.b1.txt,2270.47,1079.4,645.16,669.98,9,0,0
3020.b1.txt,2076.75,1162.53,677.2,440.18,1,1,4
3509.b1.txt,1972.19,1175.73,834.39,657.4,1,0,6
1057.b1.txt,1880.25,1334.03,829.83,756.3,0,1,0
0307.b1.txt,2340.43,963.7,788.49,325.41,12,0,3
