Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,Unique PER,Unique LOC,Unique ORG
2038.a1.txt,1822.03,1440.68,805.08,395.48,4,0,3
1082.a1.txt,1303.78,1395.05,651.89,664.93,1,0,1
0205.a1.txt,1398.77,1619.63,785.28,711.66,2,0,0
1073.a1.txt,1488.55,1450.38,674.3,712.47,2,0,0
0169.a1.txt,1492.92,1415.7,707.85,592.02,0,0,2
1042.a1.txt,1574.34,1438.29,758.02,894.07,6,0,2
3012.a1.txt,1435.29,1505.88,752.94,776.47,0,0,0
2011.a1.txt,1760.93,1439.59,886.89,874.04,3,0,0
1024.a1.txt,1457.8,1406.65,741.69,677.75,0,0,0
2069.a1.txt,1514.36,1475.2,887.73,561.36,0,0,0
0164.a1.txt,1773.53,1296.04,763.98,627.56,0,0,0
3002.a1.txt,1616.44,1397.26,1178.08,630.14,0,0,0
5022.a1.txt,1657.75,1470.59,561.5,855.61,2,0,0
0104.a1.txt,1440.11,1305.52,619.11,740.24,0,1,2
0163.a1.txt,1562.5,1294.64,654.76,1101.19,0,0,0
0207.a1.txt,1329.64,1578.95,650.97,609.42,1,0,0
3026.a1.txt,1739.13,1231.88,797.1,917.87,2,0,0
0168.a1.txt,1606.37,1548.48,680.17,1013.02,0,0,0
1067.a1.txt,1499.2,1259.97,765.55,685.81,1,0,1
2023.a1.txt,1311.26,1483.44,662.25,768.21,2,0,0
2071.a1.txt,1118.34,1638.49,754.23,702.21,1,0,0
2014.a1.txt,1542.78,1374.47,1122.02,855.54,0,0,1
0165.a1.txt,1610.17,1210.65,738.5,605.33,1,0,0
2062.a1.txt,1296.52,1512.61,516.21,480.19,1,0,0
1056.a1.txt,1132.85,1431.51,710.61,988.67,1,0,2
0106.a1.txt,1682.37,1413.19,915.21,955.59,1,0,0
2066.a1.txt,1519.34,1450.28,1077.35,787.29,0,0,0
0208.a1.txt,1629.33,1303.46,936.86,733.2,2,0,2
0130.a1.txt,1572.87,1269.84,981.24,764.79,1,0,1
0173.a1.txt,1461.43,1393.78,811.91,676.59,4,0,3
3023.a1.txt,1247.0,1510.79,719.42,671.46,0,0,1
2000.a1.txt,1635.61,1076.6,807.45,579.71,0,0,0
1089.a1.txt,1655.17,1158.62,841.38,579.31,0,1,0
0109.a1.txt,1430.41,1494.85,786.08,747.42,0,0,0
3072.a1.txt,1509.43,1551.36,859.54,754.72,0,0,0
0112.a1.txt,1445.47,1406.04,867.28,749.01,0,0,1
5005.a1.txt,1458.73,1631.48,748.56,748.56,0,0,0
1064.a1.txt,1413.88,1401.03,822.62,861.18,0,0,0
2028.a1.txt,1604.43,1341.63,774.55,857.54,0,0,0
1044.a1.txt,1678.16,1206.9,988.51,839.08,8,1,3
2031.a1.txt,1328.77,1616.44,794.52,808.22,0,0,1
2074.a1.txt,1520.55,1054.79,931.51,972.6,2,0,4
2027.a1.txt,1697.37,1368.42,855.26,763.16,5,0,1
0105.a1.txt,1366.71,1529.09,676.59,703.65,2,0,2
2015.a1.txt,1544.62,1212.81,881.01,663.62,1,0,0
1061.a1.txt,1310.24,1430.72,617.47,707.83,0,0,0
1006.a1.txt,1383.5,1529.13,873.79,606.8,3,0,0
0118.a1.txt,1406.25,1420.45,681.82,710.23,0,0,1
0192.a1.txt,1041.42,1514.79,792.9,769.23,0,0,1
0146.a1.txt,1272.73,1678.32,615.38,699.3,0,0,0
1008.a1.txt,1631.85,1462.14,626.63,704.96,1,0,0
1023.a1.txt,1556.82,1306.82,727.27,715.91,2,0,2
0131.a1.txt,1512.97,1628.24,864.55,561.96,0,0,0
0199.a1.txt,1515.99,1599.44,570.24,764.95,5,0,0
0217.a1.txt,1296.02,1340.21,927.84,648.01,0,0,0
0114.a1.txt,1298.88,1662.01,670.39,991.62,0,0,0
1001.a1.txt,1867.82,1379.31,833.33,459.77,0,0,0
0234.a1.txt,1570.83,1500.7,729.31,575.04,0,0,0
2012.a1.txt,1745.24,1263.79,962.89,812.44,1,0,3
0127.a1.txt,1244.44,1555.56,666.67,933.33,0,0,0
0221.a1.txt,1413.04,1521.74,720.11,665.76,1,1,3
3035.a1.txt,1473.68,1178.95,736.84,547.37,4,0,2
0209.a1.txt,1432.47,1282.4,654.84,627.56,1,0,3
0125.a1.txt,2033.9,1238.59,938.72,651.89,0,1,0
1032.a1.txt,1455.27,1548.73,787.72,680.91,1,0,1
0196.a1.txt,1344.96,1394.77,797.01,647.57,6,0,0
1099.a1.txt,1515.15,1410.26,769.23,687.65,1,0,1
3042.a1.txt,1554.19,1308.79,1002.04,674.85,0,0,0
0171.a1.txt,1518.66,1480.05,669.24,772.2,0,1,1
1031.a1.txt,1286.71,1552.45,657.34,643.36,0,0,1
0115.a1.txt,1508.62,1264.37,890.8,876.44,0,0,1
1014.a1.txt,1605.96,1605.96,794.7,662.25,0,0,3
5015.a1.txt,1275.0,1325.0,625.0,475.0,0,0,0
2022.a1.txt,1273.89,1732.48,764.33,662.42,0,0,1
1090.a1.txt,1396.57,1383.4,592.89,658.76,5,2,0
2004.a1.txt,1635.69,1400.25,929.37,693.93,3,0,0
2009.a1.txt,1325.76,1401.52,625.0,625.0,0,0,1
2017.a1.txt,1856.54,1251.76,745.43,576.65,0,0,0
1005.a1.txt,1674.76,1274.27,776.7,788.83,0,0,1
0222.a1.txt,1542.65,1470.05,798.55,526.32,0,0,1
0235.a1.txt,1736.61,1201.16,824.89,506.51,0,0,0
0214.a1.txt,1313.67,1420.91,656.84,924.93,1,0,0
3067.a1.txt,1694.44,1333.33,805.56,527.78,3,0,0
0156.a1.txt,1044.35,1602.29,686.7,815.45,1,0,0
1043.a1.txt,1514.76,1412.07,718.87,757.38,0,0,0
1018.a1.txt,1711.23,1350.27,975.94,601.6,3,0,1
2041.a1.txt,1352.52,1410.07,935.25,676.26,1,1,0
1029.a1.txt,1486.84,1473.68,828.95,486.84,0,0,0
1037.a1.txt,1321.7,1384.04,810.47,810.47,0,0,0
0145.a1.txt,1718.35,1266.15,723.51,788.11,0,0,0
0155.a1.txt,1136.67,1718.54,811.91,906.63,0,0,0
2046.a1.txt,1763.96,1408.63,634.52,596.45,0,1,2
0188.a1.txt,1260.16,1436.31,718.16,745.26,1,0,2
1088.a1.txt,1728.25,1597.14,774.73,500.6,2,0,1
1022.a1.txt,1518.66,1698.84,630.63,540.54,0,0,0
0113.a1.txt,1472.29,1397.85,802.32,976.01,0,0,2
4014.a1.txt,1456.52,1543.48,391.3,478.26,1,0,2
1060.a1.txt,900.36,1512.61,564.23,744.3,6,0,0
2068.a1.txt,1581.14,1414.7,638.0,582.52,0,0,0
1094.a1.txt,1210.88,1414.97,721.09,802.72,0,0,0
1020.a1.txt,1379.31,1465.52,632.18,660.92,4,0,2
1103.a1.txt,1317.14,1560.1,716.11,946.29,0,0,0
0137.a1.txt,1225.9,1363.64,909.09,936.64,0,0,2
0111.a1.txt,1568.09,1513.07,770.29,784.04,0,0,1
2060.a1.txt,1441.86,1550.39,852.71,620.16,0,0,1
0193.a1.txt,1356.42,1630.59,880.23,606.06,0,1,1
0200.a1.txt,1364.12,1428.57,837.81,762.62,3,1,1
0102.a1.txt,1608.3,1297.02,739.3,518.81,1,0,0
2018.a1.txt,1454.55,1793.94,569.7,484.85,0,0,0
2042.a1.txt,1134.16,1396.96,733.06,677.73,2,0,0
4013.a1.txt,1428.57,1470.59,714.29,672.27,0,0,0
0123.a1.txt,1380.28,1507.04,661.97,859.15,1,0,0
1063.a1.txt,1389.25,1428.57,812.58,668.41,5,0,0
2019.a1.txt,1484.85,1424.24,696.97,636.36,1,0,0
1092.a1.txt,1119.4,1447.76,626.87,985.07,0,0,0
0176.a1.txt,1578.3,1393.34,727.5,764.49,0,0,1
0107.a1.txt,1290.8,1543.03,949.55,652.82,0,0,0
0197.a1.txt,1578.21,1438.55,754.19,642.46,0,0,0
3005.a1.txt,1498.77,1818.18,687.96,589.68,1,0,0
1076.a1.txt,1529.9,1571.63,751.04,625.87,3,0,1
0158.a1.txt,1295.06,1668.89,694.26,707.61,0,0,0
2065.a1.txt,1296.02,1502.21,751.1,721.65,0,1,0
0187.a1.txt,1402.52,1542.78,813.46,813.46,0,0,1
3066.a1.txt,1966.6,1205.94,927.64,705.01,1,1,2
1098.a1.txt,1418.14,1501.56,636.08,802.92,4,0,0
0148.a1.txt,1460.06,1267.22,964.19,743.8,0,0,0
4042.a1.txt,1336.41,1359.45,714.29,645.16,0,0,1
1062.a1.txt,1495.45,1378.41,650.2,637.19,8,0,2
0162.a1.txt,1334.23,1388.14,727.76,673.85,0,0,1
0174.a1.txt,1515.15,1712.78,645.59,566.53,2,0,0
0185.a1.txt,1736.11,1194.44,833.33,597.22,1,0,1
0116.a1.txt,1442.16,1537.24,681.46,919.18,0,0,0
0100.a1.txt,1659.06,1324.2,867.58,578.39,0,0,0
3062.a1.txt,1635.22,1656.18,712.79,628.93,0,0,2
0213.a1.txt,1529.26,1529.26,904.26,598.4,0,0,2
3063.a1.txt,1566.82,1175.12,691.24,345.62,0,0,2
4043.a1.txt,1396.9,1485.59,731.71,731.71,0,0,0
2051.a1.txt,1610.04,1152.14,1019.2,649.93,2,0,3
2032.a1.txt,1308.02,1490.86,646.98,773.56,0,0,0
1057.a1.txt,1449.66,1731.54,751.68,644.3,0,0,0
1003.a1.txt,1619.28,1470.95,791.1,531.52,0,0,0
2058.a1.txt,1732.8,1402.12,634.92,780.42,2,0,0
0233.a1.txt,1447.56,1299.85,886.26,635.16,0,0,1
0136.a1.txt,1656.21,1342.53,614.81,727.73,0,1,0
2024.a1.txt,1326.82,1452.51,865.92,782.12,0,0,0
0134.a1.txt,1493.33,1373.33,800.0,1280.0,0,0,0
0139.a1.txt,1175.66,1715.08,580.91,746.89,0,0,0
4011.a1.txt,1390.24,1487.8,658.54,829.27,0,0,0
3036.a1.txt,1580.25,1604.94,617.28,592.59,0,0,0
0204.a1.txt,1612.9,1223.12,672.04,564.52,1,0,1
1026.a1.txt,1116.46,1501.44,702.6,510.11,0,0,0
1121.a1.txt,1664.63,1493.27,844.55,636.47,4,0,5
1007.a1.txt,1522.16,1445.09,635.84,597.3,1,0,3
1054.a1.txt,1696.11,1601.88,588.93,530.04,0,0,1
0121.a1.txt,1533.33,1511.11,777.78,700.0,0,0,2
2056.a1.txt,1437.13,1377.25,673.65,763.47,0,0,2
3040.a1.txt,1253.82,1865.44,1009.17,703.36,0,0,0
2020.a1.txt,1419.46,1547.05,653.91,749.6,0,0,0
1038.a1.txt,1332.31,1225.11,643.19,811.64,0,1,3
3064.a1.txt,1670.48,1510.3,732.27,732.27,0,0,0
1021.a1.txt,1401.87,1415.22,694.26,627.5,1,0,2
2007.a1.txt,1660.47,1387.86,978.93,718.71,0,0,0
1100.a1.txt,1356.54,1476.59,852.34,624.25,0,0,0
1078.a1.txt,1550.39,1373.2,620.16,586.93,0,0,1
1004.a1.txt,1482.84,1335.78,759.8,674.02,1,0,5
2057.a1.txt,1366.71,1583.22,690.12,757.78,0,1,0
1012.a1.txt,1763.91,1234.74,773.41,732.7,0,0,0
2070.a1.txt,1239.5,1365.55,777.31,672.27,0,0,1
0152.a1.txt,1481.91,1341.89,781.8,723.45,0,0,0
0218.a1.txt,1524.31,1576.87,775.3,486.2,0,0,0
1105.a1.txt,1351.71,1430.45,748.03,813.65,0,0,0
1055.a1.txt,1712.85,1700.25,617.13,692.7,0,0,0
2064.a1.txt,1474.72,1573.03,603.93,603.93,0,0,0
1066.a1.txt,1523.44,1380.21,664.06,677.08,1,0,0
2005.a1.txt,1640.04,1363.15,820.02,702.88,2,0,0
0149.a1.txt,1376.34,1376.34,817.2,817.2,1,0,0
1068.a1.txt,1697.38,1416.1,601.36,805.04,4,0,1
0108.a1.txt,1407.41,1496.3,503.7,711.11,1,0,0
2075.a1.txt,1430.29,1286.06,721.15,721.15,1,2,3
3038.a1.txt,1621.0,1506.85,936.07,502.28,0,0,0
2049.a1.txt,1593.12,1271.5,575.92,807.78,3,0,5
0186.a1.txt,1374.47,1612.9,532.96,883.59,2,0,1
2039.a1.txt,1514.75,1675.6,777.48,750.67,0,0,0
0177.a1.txt,1102.36,1496.06,761.15,682.41,1,0,0
3044.a1.txt,1624.47,1075.95,843.88,886.08,0,0,1
3041.a1.txt,1188.12,1419.14,792.08,429.04,0,0,0
0167.a1.txt,1413.43,1307.42,706.71,1048.29,1,0,2
0172.a1.txt,1440.44,1246.54,831.02,775.62,12,0,0
0206.a1.txt,1182.34,1438.75,655.27,641.03,0,0,2
0178.a1.txt,1426.95,1200.45,758.78,962.63,0,0,1
0236.a1.txt,1221.72,1674.21,648.57,708.9,0,0,0
1016.a1.txt,1205.3,1218.54,781.46,874.17,0,0,0
0140.a1.txt,1612.18,1454.34,879.37,563.7,5,0,0
0161.a1.txt,1629.83,1312.15,966.85,511.05,0,0,0
0119.a1.txt,1359.35,1480.48,847.91,780.62,0,0,0
0198.a1.txt,1428.57,1520.74,660.52,537.63,2,0,1
2050.a1.txt,1763.12,1641.99,605.65,363.39,0,0,0
0212.a1.txt,1488.18,1196.11,723.23,904.03,0,0,0
2026.a1.txt,1552.2,1181.32,741.76,796.7,2,0,7
1102.a1.txt,1330.8,1533.59,811.15,811.15,4,2,1
0227.a1.txt,1443.3,1533.51,747.42,657.22,1,0,1
2067.a1.txt,1288.95,1487.25,594.9,623.23,0,0,0
3020.a1.txt,1411.76,1364.71,447.06,800.0,0,0,1
0135.a1.txt,1679.39,977.1,916.03,702.29,0,0,4
1036.a1.txt,1422.09,1512.86,801.82,892.59,1,0,1
0151.a1.txt,1022.41,1666.67,560.22,784.31,1,0,0
2063.a1.txt,1548.48,1606.37,868.31,607.81,0,0,1
1109.a1.txt,1482.08,1628.66,846.91,732.9,0,0,0
2045.a1.txt,1886.27,1553.4,721.22,568.65,1,0,0
1106.a1.txt,1828.36,1231.34,684.08,684.08,1,0,0
3039.a1.txt,1786.94,1443.3,893.47,893.47,0,0,0
0189.a1.txt,1329.84,1455.5,701.57,586.39,1,0,1
1039.a1.txt,1246.29,1523.24,662.71,751.73,2,0,1
2021.a1.txt,1569.39,1465.63,843.06,661.48,0,0,0
3027.a1.txt,1522.16,1387.28,867.05,616.57,0,0,0
0226.a1.txt,1580.42,1216.78,965.03,741.26,0,0,0
0103.a1.txt,1237.5,1537.5,675.0,650.0,1,0,1
1072.a1.txt,1451.1,1458.99,701.89,796.53,2,0,0
3068.a1.txt,1625.0,1450.0,825.0,700.0,0,0,0
1017.a1.txt,1567.16,1517.41,845.77,858.21,0,1,0
1013.a1.txt,1205.77,1323.72,694.63,930.54,2,0,1
0124.a1.txt,1818.18,1191.65,823.1,663.39,0,3,3
1074.a1.txt,1698.69,1415.57,768.45,738.12,0,0,0
1010.a1.txt,1414.68,1414.68,804.6,627.76,3,0,2
