Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,Unique PER,Unique LOC,Unique ORG
1112.a3.txt,1916.33,1430.5,715.25,593.79,1,0,0
3062.a3.txt,2662.98,1149.17,917.13,651.93,2,0,1
4041.a3.txt,1957.34,1279.8,727.73,614.81,2,0,0
4009.a3.txt,1833.91,1470.59,622.84,588.24,1,0,0
0204.a3.txt,2341.77,1297.47,648.73,601.27,2,0,1
4007.a3.txt,2083.9,1339.65,744.25,487.14,0,0,5
0177.a3.txt,2150.26,1191.71,803.11,803.11,4,0,0
0202.a3.txt,2154.15,1264.82,1027.67,454.55,0,0,0
1022.a3.txt,2362.32,1347.83,739.13,405.8,1,0,1
1052.a3.txt,2465.52,1241.38,689.66,379.31,1,0,0
1103.a3.txt,1644.0,1199.01,729.3,741.66,4,0,3
0109.a3.txt,2130.68,1406.25,497.16,454.55,2,0,0
3042.a3.txt,1691.62,1497.01,718.56,733.53,1,0,1
2035.a3.txt,2226.95,1163.12,1063.83,666.67,0,0,0
0206.a3.txt,2511.14,1144.13,668.65,356.61,3,0,0
3072.a3.txt,2558.64,1204.69,660.98,607.68,3,0,2
5002.a3.txt,1826.67,1066.67,786.67,706.67,1,1,1
4044.a3.txt,1884.5,1595.74,927.05,699.09,0,0,0
1105.a3.txt,1927.14,1222.09,669.8,575.79,2,0,1
3013.a3.txt,1649.93,1391.68,717.36,530.85,3,0,0
0186.a3.txt,2063.27,1114.17,866.57,797.8,2,0,0
0120.a3.txt,2275.54,1099.07,1006.19,588.24,0,0,0
1021.a3.txt,1940.3,1426.2,646.77,480.93,1,0,2
1072.a3.txt,2427.88,1117.79,841.35,564.9,0,0,0
1014.a3.txt,2445.14,1206.9,705.33,376.18,2,0,1
4011.a3.txt,2021.12,1478.13,708.9,618.4,1,0,0
3001.a3.txt,2168.02,1368.56,677.51,447.15,0,0,0
4039.a3.txt,1896.3,1451.85,740.74,696.3,0,0,0
0219.a3.txt,2331.9,1344.78,615.16,658.08,1,0,1
0232.a3.txt,1964.53,1432.47,859.48,491.13,1,0,1
0169.a3.txt,2377.81,1149.27,673.71,488.77,2,0,4
0227.a3.txt,2080.24,1188.71,787.52,534.92,1,0,1
1003.a3.txt,2461.68,1289.45,811.54,459.87,7,0,1
2022.a3.txt,1902.59,1217.66,700.15,593.61,0,0,1
2074.a3.txt,2162.92,1207.87,828.65,575.84,4,1,4
