Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,Unique PER,Unique LOC,Unique ORG
2050.a2.txt,2552.3,1101.81,1032.08,418.41,0,0,2
4017.a2.txt,2172.37,1003.54,1003.54,791.03,2,0,1
1056.a2.txt,2013.65,1274.18,739.48,637.09,5,0,2
1008.a2.txt,1984.23,1248.36,735.87,551.91,0,0,1
5006.a2.txt,2295.6,1132.08,1430.82,361.64,0,0,3
4003.a2.txt,1988.95,1477.9,593.92,469.61,0,0,0
0167.a2.txt,1949.75,1045.23,924.62,673.37,0,0,1
2044.a2.txt,1528.15,1286.86,817.69,361.93,3,1,2
0179.a2.txt,2100.84,1274.51,1050.42,420.17,0,0,0
1099.a2.txt,2258.06,1204.3,569.89,526.88,3,0,0
4037.a2.txt,2438.69,1117.17,653.95,272.48,0,0,0
0106.a2.txt,1845.95,1248.34,810.09,597.61,0,1,1
5013.a2.txt,1819.76,1247.83,831.89,589.25,5,1,1
1041.a2.txt,1927.37,1592.18,726.26,544.69,2,0,3
1090.a2.txt,2135.71,1323.69,667.41,556.17,0,0,2
2021.a2.txt,2045.76,1170.93,1076.72,780.62,0,0,0
4028.a2.txt,2046.07,1395.66,772.36,623.31,1,0,1
0218.a2.txt,2500.0,1290.76,788.04,366.85,0,0,0
0193.a2.txt,2428.39,1382.32,958.9,473.23,0,1,4
4026.a2.txt,2281.62,1029.99,938.72,495.44,4,1,1
1012.a2.txt,2090.16,1215.85,1024.59,478.14,0,0,1
5011.a2.txt,1771.12,1117.17,885.56,722.07,3,1,1
1061.a2.txt,1623.62,1439.11,799.51,627.31,0,0,0
0176.a2.txt,2399.4,1043.22,819.67,476.9,0,0,0
0137.a2.txt,1853.79,1344.65,652.74,652.74,0,0,1
0195.a2.txt,1412.89,1207.13,644.72,548.7,1,4,5
2041.a2.txt,1828.57,928.57,928.57,328.57,0,1,5
0185.a2.txt,1927.71,1258.37,655.96,495.31,0,1,0
1036.a2.txt,1831.28,1378.6,534.98,617.28,0,1,1
2066.a2.txt,2267.72,1212.6,850.39,598.43,0,0,0
3042.a2.txt,1944.06,1314.69,979.02,783.22,0,0,0
2016.a2.txt,2276.79,1324.4,803.57,565.48,0,0,3
0100.a2.txt,2235.29,1385.62,849.67,379.08,1,0,2
5039.a2.txt,2022.79,1054.13,911.68,470.09,1,1,5
