Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,Unique PER,Unique LOC,Unique ORG
2007.a4.txt,1637.22,1295.64,553.59,518.26,7,1,3
1090.a4.txt,1673.43,1308.32,770.79,456.39,7,0,3
2074.a4.txt,1629.15,1425.51,675.24,418.01,6,0,2
3062.a4.txt,1988.19,1102.36,885.83,561.02,6,0,4
3003.a4.txt,2067.31,1278.85,817.31,375.0,5,0,0
0238.a4.txt,1630.09,1442.01,522.47,344.83,5,0,1
4023.a4.txt,1451.61,1268.82,688.17,623.66,8,1,0
1017.a4.txt,1714.77,1179.97,848.9,611.21,3,0,1
0140.a4.txt,1576.41,1167.27,613.72,493.38,7,0,4
2000.a4.txt,2016.41,1078.55,726.85,504.1,6,0,2
1036.a4.txt,1796.57,1334.21,726.55,581.24,10,0,2
0193.a4.txt,1837.09,1308.49,571.92,320.62,6,0,6
1100.a4.txt,1579.56,1231.13,685.25,476.19,6,0,2
1088.a4.txt,1454.33,1454.33,516.83,384.62,6,0,1
0136.a4.txt,1594.98,1335.13,743.73,376.34,9,1,3
2039.a4.txt,1973.68,1129.39,712.72,592.11,8,0,3
2062.a4.txt,1398.68,1387.67,693.83,473.57,7,0,1
0202.a4.txt,1569.34,1654.5,413.63,218.98,2,0,2
0122.a4.txt,1922.44,1212.87,709.57,470.3,7,0,5
2055.a4.txt,1672.64,1123.06,669.06,406.21,9,0,0
0108.a4.txt,1623.84,1469.68,698.87,441.93,8,0,2
2019.a4.txt,1670.4,1390.13,526.91,448.43,6,0,1
4028.a4.txt,1604.1,1433.45,580.2,557.45,4,0,2
0200.a4.txt,1641.44,1455.18,617.0,721.77,5,0,1
1076.a4.txt,1797.75,1215.53,684.37,337.08,7,1,1
2067.a4.txt,1500.0,1280.49,670.73,500.0,9,0,1
2012.a4.txt,1886.43,1183.83,769.97,336.86,10,0,1
0134.a4.txt,1535.91,1171.27,906.08,408.84,4,0,0
1009.a4.txt,1954.02,1213.28,651.34,434.23,7,0,2
0199.a4.txt,1847.69,1073.66,823.97,461.92,8,0,3
3026.a4.txt,1713.82,1333.87,695.23,444.62,4,0,0
2034.a4.txt,1668.19,1303.56,537.83,537.83,10,0,3
2020.a4.txt,1551.72,1402.3,620.69,436.78,5,0,1
0107.a4.txt,1696.63,1460.67,730.34,483.15,5,0,2
1008.a4.txt,1808.16,1113.56,793.83,617.42,6,2,3
0115.a4.txt,2083.33,943.63,796.57,575.98,3,0,3
3065.a4.txt,1528.74,1402.3,494.25,724.14,4,0,4
0197.a4.txt,1608.64,1404.56,552.22,468.19,6,0,4
1081.a4.txt,1747.17,1233.3,678.31,287.77,8,0,3
