task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,filename
Loading and vectorizing text,2024-05-30T16:43:14,vectorize.py,e01c32b1-4321-4390-a3dc-46023ddf2782,12.368024587631226,0.00012623137078493954,0.000010207709145299515,62.5,0.0,141.20075225830078,0.00021468936569160886,0,0.0004849712601048168,0.0006996606257964257,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.5557,55.4308,376.53533935546875,machine,N,assignment2emissions_base_e01c32b1-4321-4390-a3dc-46023ddf2782.csv
Applying MLP,2024-05-30T16:43:31,mlp.py,175a0924-3f4d-4142-bc19-23c1c9638d5f,3.7545852661132812,0.00003830741040238504,0.000010205963655207267,62.5,0.0,141.20075225830078,0.00006516091939475802,0,0.00014716495941104313,0.00021232587880580116,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.5557,55.4308,376.53533935546875,machine,N,assignment2emissions_base_175a0924-3f4d-4142-bc19-23c1c9638d5f.csv
applying lr,2024-05-30T16:43:21,lr.py,f7dd87e3-b9d9-41ff-9709-a6878811dd4d,0.08067202568054199,8.200735692361869e-7,0.0000101605411995475,62.5,0.0,141.20075225830078,1.3992852634853788e-6,0,3.146123560668457e-6,4.545408824153836e-6,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.5557,55.4308,376.53533935546875,machine,N,assignment2emissions_base_f7dd87e3-b9d9-41ff-9709-a6878811dd4d.csv
