task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,filename
load model,2024-05-30T16:43:39,spacy_extract.py,55f957c7-bf9c-4f65-a9f4-0be4853621b1,1.451777696609497,0.000014817098767232322,0.000010205691683632673,62.5,0.0,141.20075225830078,0.000025204064117537605,0,0.000056922435274054804,0.00008212649939159242,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.5557,55.4308,376.53533935546875,machine,N,assignment1emissions_base_55f957c7-bf9c-4f65-a9f4-0be4853621b1.csv
processing files,2024-05-30T16:47:09,spacy_extract.py,55f957c7-bf9c-4f65-a9f4-0be4853621b1,210.16514325141907,0.0021454908795302597,0.000010208669502336238,62.5,0.0,141.20075225830078,0.0036486718555291493,0,0.008243106567523204,0.011891778423052352,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.5557,55.4308,376.53533935546875,machine,N,assignment1emissions_base_55f957c7-bf9c-4f65-a9f4-0be4853621b1.csv
