task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
load and apply model,2024-05-30T16:42:52,query_expansion.py,95e9e9ab-32e9-4a52-a3fa-b7aa5fdc4767,2134.2703244686127,0.02178809452013745,1.020868702167387e-05,62.5,0.0,141.20075225830078,0.037053296826779845,0,0.083711230660153,0.12076452748693284,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.5557,55.4308,376.53533935546875,machine,N
calculating on model data,2024-05-30T16:42:52,query_expansion.py,95e9e9ab-32e9-4a52-a3fa-b7aa5fdc4767,0.010714292526245117,1.0578806355215908e-07,9.883883500603115e-06,62.5,0.0,141.20075225830078,1.8397967020689077e-07,0,4.023701593719453e-07,5.863498295788361e-07,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.5557,55.4308,376.53533935546875,machine,N
visualize data,2024-05-30T16:42:53,query_expansion.py,95e9e9ab-32e9-4a52-a3fa-b7aa5fdc4767,0.7767326831817627,7.924412093990307e-06,1.0203246981677818e-05,62.5,0.0,141.20075225830078,1.3481473757161189e-05,0,3.0441040038520217e-05,4.392251379567447e-05,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.5557,55.4308,376.53533935546875,machine,N
